locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEKMDCAF_00767	CDS	318				hypothetical protein
EEKMDCAF_00768	CDS	1557				hypothetical protein
EEKMDCAF_00769	CDS	2505	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_00770	CDS	459	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
EEKMDCAF_00771	CDS	1452	coaBC	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
EEKMDCAF_00772	CDS	1542	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
EEKMDCAF_00773	CDS	762	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
EEKMDCAF_00774	CDS	882	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
EEKMDCAF_00775	CDS	744				hypothetical protein
EEKMDCAF_00776	CDS	1362				hypothetical protein
EEKMDCAF_00777	CDS	804	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
EEKMDCAF_00778	CDS	1002		1.1.1.29		Glycerate dehydrogenase
EEKMDCAF_00779	CDS	531				hypothetical protein
EEKMDCAF_00780	CDS	519				hypothetical protein
EEKMDCAF_00781	CDS	522	fabA_1	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
EEKMDCAF_00782	CDS	1224	fabB	2.3.1.41		3-oxoacyl-[acyl-carrier-protein] synthase 1
EEKMDCAF_00783	CDS	786	fabI_1	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
EEKMDCAF_00784	CDS	1995				hypothetical protein
EEKMDCAF_00785	CDS	597	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EEKMDCAF_00786	CDS	879				hypothetical protein
EEKMDCAF_00787	CDS	840				hypothetical protein
EEKMDCAF_00788	CDS	462				hypothetical protein
EEKMDCAF_00789	CDS	927	oxyR_1			Hydrogen peroxide-inducible genes activator
EEKMDCAF_00790	CDS	2166	katG	1.11.1.21		Catalase-peroxidase
EEKMDCAF_00791	CDS	2163	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
EEKMDCAF_00792	CDS	270	rpsO		COG0184	30S ribosomal protein S15
EEKMDCAF_00793	CDS	1119	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
EEKMDCAF_00794	CDS	435	rbfA			Ribosome-binding factor A
EEKMDCAF_00795	CDS	2709	infB		COG0532	Translation initiation factor IF-2
EEKMDCAF_00796	CDS	684				hypothetical protein
EEKMDCAF_00797	CDS	1611	nusA		COG0195	Transcription termination/antitermination protein NusA
EEKMDCAF_00798	CDS	756	rimP			Ribosome maturation factor RimP
EEKMDCAF_00799	CDS	1083				hypothetical protein
EEKMDCAF_00800	CDS	711	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
EEKMDCAF_00801	CDS	1128	cpg2_1	3.4.17.11		Carboxypeptidase G2
EEKMDCAF_00802	CDS	414				hypothetical protein
EEKMDCAF_00803	CDS	1614	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
EEKMDCAF_00804	CDS	1119				hypothetical protein
EEKMDCAF_00805	CDS	489	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
EEKMDCAF_00806	CDS	996			COG1702	PhoH-like protein
EEKMDCAF_00807	CDS	1398	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
EEKMDCAF_00808	CDS	681	yieH_1	3.1.3.-	COG0637	6-phosphogluconate phosphatase
EEKMDCAF_00809	CDS	456	fur		COG0735	Ferric uptake regulation protein
EEKMDCAF_00810	CDS	486	mshD	2.3.1.189		Mycothiol acetyltransferase
EEKMDCAF_00811	CDS	696	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
EEKMDCAF_00812	CDS	570	nfuA			Fe/S biogenesis protein NfuA
EEKMDCAF_00813	CDS	138				hypothetical protein
EEKMDCAF_00814	CDS	495				hypothetical protein
EEKMDCAF_00815	CDS	1053	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
EEKMDCAF_00816	CDS	1533	murJ_1		COG0728	putative lipid II flippase MurJ
EEKMDCAF_00817	CDS	1002	rbsK_1	2.7.1.15	COG0524	Ribokinase
EEKMDCAF_00818	CDS	1194			COG1680	putative protein
EEKMDCAF_00819	CDS	321				hypothetical protein
EEKMDCAF_00820	CDS	1494	davD	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
EEKMDCAF_00821	CDS	276				hypothetical protein
EEKMDCAF_00822	CDS	423				hypothetical protein
EEKMDCAF_00823	CDS	2217				hypothetical protein
EEKMDCAF_00824	CDS	915	purC_1	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
EEKMDCAF_00825	CDS	918				hypothetical protein
EEKMDCAF_00826	CDS	1062				hypothetical protein
EEKMDCAF_00827	CDS	1428				hypothetical protein
EEKMDCAF_00828	CDS	1371				hypothetical protein
EEKMDCAF_00829	CDS	1116				hypothetical protein
EEKMDCAF_00830	CDS	648				hypothetical protein
EEKMDCAF_00831	CDS	651				hypothetical protein
EEKMDCAF_00832	CDS	489				hypothetical protein
EEKMDCAF_00833	CDS	1395	norM		COG0534	Multidrug resistance protein NorM
EEKMDCAF_00834	CDS	1296	murA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
EEKMDCAF_00835	CDS	2436	gyrB_1	5.6.2.2		DNA gyrase subunit B
EEKMDCAF_00836	CDS	684				hypothetical protein
EEKMDCAF_00837	CDS	2157				hypothetical protein
EEKMDCAF_00838	CDS	744				hypothetical protein
EEKMDCAF_00839	CDS	1137	recF_1		COG1195	DNA replication and repair protein RecF
EEKMDCAF_00840	CDS	273			COG2852	putative protein
EEKMDCAF_00841	CDS	1119	dnaN			Beta sliding clamp
EEKMDCAF_00842	CDS	1413	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EEKMDCAF_00843	CDS	267	rpsT		COG0268	30S ribosomal protein S20
EEKMDCAF_00844	CDS	318				hypothetical protein
EEKMDCAF_00845	CDS	657	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
EEKMDCAF_00846	CDS	666				hypothetical protein
EEKMDCAF_00847	CDS	483				hypothetical protein
EEKMDCAF_00848	CDS	672	clcD_1	3.1.1.45		Carboxymethylenebutenolidase
EEKMDCAF_00849	CDS	342				hypothetical protein
EEKMDCAF_00850	CDS	765	ydjP_1	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
EEKMDCAF_00851	CDS	114				hypothetical protein
EEKMDCAF_00852	CDS	492	iorA_1	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
EEKMDCAF_00853	CDS	2292		1.2.5.2		Membrane-bound aldehyde dehydrogenase [pyrroloquinoline-quinone]
EEKMDCAF_00854	CDS	1095				hypothetical protein
EEKMDCAF_00855	CDS	1581	caiC_1	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
EEKMDCAF_00856	CDS	411			COG0346	Virulence protein
EEKMDCAF_00857	CDS	975				hypothetical protein
EEKMDCAF_00858	CDS	279				hypothetical protein
EEKMDCAF_00859	CDS	255				hypothetical protein
EEKMDCAF_00860	CDS	492				hypothetical protein
EEKMDCAF_00861	CDS	738				hypothetical protein
EEKMDCAF_00862	CDS	1245				hypothetical protein
EEKMDCAF_00863	CDS	618				hypothetical protein
EEKMDCAF_00864	CDS	375				hypothetical protein
EEKMDCAF_00865	CDS	741	uppS_1	2.5.1.-	COG0020	Isoprenyl transferase
EEKMDCAF_00866	CDS	1527				hypothetical protein
EEKMDCAF_00867	CDS	537				hypothetical protein
EEKMDCAF_00868	CDS	486				hypothetical protein
EEKMDCAF_00869	CDS	828				hypothetical protein
EEKMDCAF_00870	CDS	687				hypothetical protein
EEKMDCAF_00871	CDS	294				hypothetical protein
EEKMDCAF_00872	CDS	675				hypothetical protein
EEKMDCAF_00873	CDS	384				hypothetical protein
EEKMDCAF_00874	CDS	1101	dinB_1	2.7.7.7	COG0389	DNA polymerase IV
EEKMDCAF_00875	CDS	210				hypothetical protein
EEKMDCAF_00876	tRNA	77				tRNA-Arg(ccg)
EEKMDCAF_00877	CDS	699				hypothetical protein
EEKMDCAF_00878	CDS	3222	rapA	3.6.4.-		RNA polymerase-associated protein RapA
EEKMDCAF_00879	CDS	3906				hypothetical protein
EEKMDCAF_00880	CDS	3576				hypothetical protein
EEKMDCAF_00881	CDS	1848				hypothetical protein
EEKMDCAF_00882	CDS	210				hypothetical protein
EEKMDCAF_00883	CDS	381				hypothetical protein
EEKMDCAF_00884	CDS	948	xerC_2			Tyrosine recombinase XerC
EEKMDCAF_00885	CDS	2568				hypothetical protein
EEKMDCAF_00886	CDS	1191				hypothetical protein
EEKMDCAF_00887	CDS	891				hypothetical protein
EEKMDCAF_00888	CDS	915				hypothetical protein
EEKMDCAF_00889	CDS	1569				hypothetical protein
EEKMDCAF_00890	CDS	372				hypothetical protein
EEKMDCAF_00891	CDS	675				hypothetical protein
EEKMDCAF_00892	CDS	330				hypothetical protein
EEKMDCAF_00893	CDS	912				hypothetical protein
EEKMDCAF_00894	CDS	924				hypothetical protein
EEKMDCAF_00895	CDS	3111				hypothetical protein
EEKMDCAF_00896	CDS	1086				hypothetical protein
EEKMDCAF_00897	CDS	1011				hypothetical protein
EEKMDCAF_00898	CDS	723	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EEKMDCAF_00899	CDS	765	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
EEKMDCAF_00900	CDS	1245	braC_1		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
EEKMDCAF_00901	CDS	2049				hypothetical protein
EEKMDCAF_00902	CDS	1311	abaF_1			Fosfomycin resistance protein AbaF
EEKMDCAF_00903	CDS	1443	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
EEKMDCAF_00904	CDS	1734				hypothetical protein
EEKMDCAF_00905	CDS	972				hypothetical protein
EEKMDCAF_00906	CDS	840	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
EEKMDCAF_00907	CDS	1377		1.14.-.-	COG2124	Putative cytochrome P450 136
EEKMDCAF_00908	CDS	1236	limB_1	1.14.13.107		Limonene 1,2-monooxygenase
EEKMDCAF_00909	CDS	504	sthA_1	1.6.1.1	COG1249	putative soluble pyridine nucleotide transhydrogenase
EEKMDCAF_00910	CDS	405	sthA_2	1.6.1.1	COG1249	putative soluble pyridine nucleotide transhydrogenase
EEKMDCAF_00911	CDS	1413	stp_1			Multidrug resistance protein Stp
EEKMDCAF_00912	CDS	1179				hypothetical protein
EEKMDCAF_00913	CDS	693	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
EEKMDCAF_00914	CDS	1464	malL	3.2.1.10	COG0366	Oligo-1,6-glucosidase
EEKMDCAF_00915	CDS	1698	treS	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
EEKMDCAF_00916	CDS	492				hypothetical protein
EEKMDCAF_00917	CDS	555	regA_2		COG4567	Photosynthetic apparatus regulatory protein RegA
EEKMDCAF_00918	CDS	1323	regB_2	2.7.13.3		Sensor histidine kinase RegB
EEKMDCAF_00919	CDS	804	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EEKMDCAF_00920	CDS	819				hypothetical protein
EEKMDCAF_00921	CDS	1329				hypothetical protein
EEKMDCAF_00922	CDS	840				hypothetical protein
EEKMDCAF_00923	CDS	2214	pbpG		COG0744	Penicillin-binding protein 2D
EEKMDCAF_00924	CDS	426				hypothetical protein
EEKMDCAF_00925	CDS	1215				hypothetical protein
EEKMDCAF_00926	CDS	1227				hypothetical protein
EEKMDCAF_00927	CDS	363				hypothetical protein
EEKMDCAF_00928	CDS	531	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
EEKMDCAF_00929	CDS	2790	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
EEKMDCAF_00930	CDS	1101				hypothetical protein
EEKMDCAF_00931	CDS	846	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
EEKMDCAF_00932	CDS	786	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
EEKMDCAF_00933	CDS	510				hypothetical protein
EEKMDCAF_00934	CDS	834				hypothetical protein
EEKMDCAF_00935	CDS	1677				hypothetical protein
EEKMDCAF_00936	CDS	2739	mutS		COG0249	DNA mismatch repair protein MutS
EEKMDCAF_00937	CDS	1209	pcaF	2.3.1.174		Beta-ketoadipyl-CoA thiolase
EEKMDCAF_00938	CDS	894	chqB_1	1.13.11.37		Hydroxyquinol 1,2-dioxygenase
EEKMDCAF_00939	CDS	702	pcaH_1	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
EEKMDCAF_00940	CDS	603	pcaG_1	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
EEKMDCAF_00941	CDS	1692				hypothetical protein
EEKMDCAF_00942	CDS	1065				hypothetical protein
EEKMDCAF_00943	CDS	1557	emrB_2			Multidrug export protein EmrB
EEKMDCAF_00944	CDS	1164	emrA_2		COG1566	Multidrug export protein EmrA
EEKMDCAF_00945	CDS	483	slyA_1			Transcriptional regulator SlyA
EEKMDCAF_00946	CDS	495	zur		COG0735	Zinc uptake regulation protein
EEKMDCAF_00947	CDS	954				hypothetical protein
EEKMDCAF_00948	CDS	1284	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
EEKMDCAF_00949	CDS	897	tauD	1.14.11.17	COG2175	Alpha-ketoglutarate-dependent taurine dioxygenase
EEKMDCAF_00950	CDS	1338	pht3	1.14.12.7		Phthalate 4,5-dioxygenase oxygenase subunit
EEKMDCAF_00951	CDS	804				hypothetical protein
EEKMDCAF_00952	CDS	1611	nhaK_1		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
EEKMDCAF_00953	CDS	882	bla_1	3.5.2.6		Beta-lactamase CTX-M-1
EEKMDCAF_00954	CDS	375				hypothetical protein
EEKMDCAF_00955	CDS	429				hypothetical protein
EEKMDCAF_00956	CDS	1818				hypothetical protein
EEKMDCAF_00957	CDS	687				hypothetical protein
EEKMDCAF_00958	CDS	924				hypothetical protein
EEKMDCAF_00959	CDS	675	mtgA_1	2.4.1.129		Biosynthetic peptidoglycan transglycosylase
EEKMDCAF_00960	CDS	183	rpmF		COG0333	50S ribosomal protein L32
EEKMDCAF_00961	CDS	645				hypothetical protein
EEKMDCAF_00962	CDS	261				hypothetical protein
EEKMDCAF_00963	CDS	1695				hypothetical protein
EEKMDCAF_00964	CDS	1509				hypothetical protein
EEKMDCAF_00965	CDS	486				hypothetical protein
EEKMDCAF_00966	CDS	978				hypothetical protein
EEKMDCAF_00967	CDS	2868				hypothetical protein
EEKMDCAF_00968	CDS	876				hypothetical protein
EEKMDCAF_00969	CDS	981		6.2.1.-	COG0172	Amino acid--[acyl-carrier-protein] ligase 1
EEKMDCAF_00970	CDS	1218		1.3.8.10	COG1960	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase
EEKMDCAF_00971	CDS	273				Aminoacyl carrier protein 1
EEKMDCAF_00972	CDS	876	mtnP	2.4.2.28	COG0005	S-methyl-5'-thioadenosine phosphorylase
EEKMDCAF_00973	CDS	1107	mtnA	5.3.1.23	COG0182	Methylthioribose-1-phosphate isomerase
EEKMDCAF_00974	CDS	636		3.1.-.-	COG1011	Phosphatase
EEKMDCAF_00975	CDS	828				hypothetical protein
EEKMDCAF_00976	CDS	1503	ethA_1	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
EEKMDCAF_00977	CDS	927	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
EEKMDCAF_00978	CDS	3372	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
EEKMDCAF_00979	CDS	1260	amiC_3			Aliphatic amidase expression-regulating protein
EEKMDCAF_00980	CDS	927	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EEKMDCAF_00981	CDS	1143				hypothetical protein
EEKMDCAF_00982	CDS	756	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EEKMDCAF_00983	CDS	690	livF_3		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EEKMDCAF_00984	CDS	1230	fmdA	3.5.1.49		Formamidase
EEKMDCAF_00985	CDS	378				hypothetical protein
EEKMDCAF_00986	CDS	1041	amiE	3.5.1.4		Aliphatic amidase
EEKMDCAF_00987	CDS	822				hypothetical protein
EEKMDCAF_00988	CDS	2220	FCS1_2	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
EEKMDCAF_00989	CDS	570				hypothetical protein
EEKMDCAF_00990	CDS	2265				hypothetical protein
EEKMDCAF_00991	CDS	762				hypothetical protein
EEKMDCAF_00992	CDS	1224				hypothetical protein
EEKMDCAF_00993	CDS	1551		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
EEKMDCAF_00994	CDS	1137	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
EEKMDCAF_00995	CDS	1167	acdA_2	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
EEKMDCAF_00996	CDS	657				hypothetical protein
EEKMDCAF_00997	CDS	801				hypothetical protein
EEKMDCAF_00998	CDS	867	kce_1	2.3.1.247		3-keto-5-aminohexanoate cleavage enzyme
EEKMDCAF_00999	CDS	1617	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
EEKMDCAF_01000	CDS	1977	accA1_1		COG4770	Acetyl-/propionyl-coenzyme A carboxylase alpha chain
EEKMDCAF_01001	CDS	813				hypothetical protein
EEKMDCAF_01002	CDS	987	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
EEKMDCAF_01003	CDS	1005	oppD_2		COG0444	Oligopeptide transport ATP-binding protein OppD
EEKMDCAF_01004	CDS	894	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
EEKMDCAF_01005	CDS	948	dppB_1		COG0601	Dipeptide transport system permease protein DppB
EEKMDCAF_01006	CDS	1599	appA_2			Oligopeptide-binding protein AppA
EEKMDCAF_01007	CDS	1551	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
EEKMDCAF_01008	CDS	1155	tfdF	1.3.1.32		Maleylacetate reductase
EEKMDCAF_01009	CDS	1218	acrA_1			Multidrug efflux pump subunit AcrA
EEKMDCAF_01010	CDS	3165	oqxB7			multidrug efflux RND transporter permease subunit OqxB7
EEKMDCAF_01011	CDS	1194				hypothetical protein
EEKMDCAF_01012	CDS	387				hypothetical protein
EEKMDCAF_01013	CDS	1083				hypothetical protein
EEKMDCAF_01014	CDS	2463				hypothetical protein
EEKMDCAF_01015	CDS	654			COG1136	putative ABC transporter ATP-binding protein
EEKMDCAF_01016	CDS	1335	exuT			Hexuronate transporter
EEKMDCAF_01017	CDS	1719	ade_1	3.5.4.2		Adenine deaminase
EEKMDCAF_01018	CDS	1209				hypothetical protein
EEKMDCAF_01019	CDS	183				hypothetical protein
EEKMDCAF_01020	CDS	1038	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
EEKMDCAF_01021	CDS	459				hypothetical protein
EEKMDCAF_01022	CDS	1752				hypothetical protein
EEKMDCAF_01023	CDS	306				hypothetical protein
EEKMDCAF_01024	CDS	864	soxA_1	2.8.5.2		L-cysteine S-thiosulfotransferase subunit SoxA
EEKMDCAF_01025	CDS	312				hypothetical protein
EEKMDCAF_01026	CDS	492				hypothetical protein
EEKMDCAF_01027	CDS	426				hypothetical protein
EEKMDCAF_01028	CDS	672				hypothetical protein
EEKMDCAF_01029	CDS	2070				hypothetical protein
EEKMDCAF_01030	CDS	1248	rfnT			Riboflavin transporter RfnT
EEKMDCAF_01031	CDS	1245				L-lactate transporter
EEKMDCAF_01032	CDS	495	catE_1	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
EEKMDCAF_01033	CDS	546				hypothetical protein
EEKMDCAF_01034	CDS	1215		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
EEKMDCAF_01035	CDS	1140		1.3.8.10	COG1960	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase
EEKMDCAF_01036	CDS	1038	yhdW_1			Putative amino-acid ABC transporter-binding protein YhdW
EEKMDCAF_01037	CDS	594				hypothetical protein
EEKMDCAF_01038	CDS	975				hypothetical protein
EEKMDCAF_01039	CDS	564	resA			Thiol-disulfide oxidoreductase ResA
EEKMDCAF_01040	CDS	699	dipZ		COG0785	Protein DipZ
EEKMDCAF_01041	CDS	612				hypothetical protein
EEKMDCAF_01042	CDS	738	ompR_1			Transcriptional regulatory protein OmpR
EEKMDCAF_01043	CDS	1746	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_01044	CDS	2079	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
EEKMDCAF_01045	CDS	996			COG1638	Solute-binding protein
EEKMDCAF_01046	CDS	1341	ugpB_2		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
EEKMDCAF_01047	CDS	1032	prtS	3.4.24.-		Protease PrtS
EEKMDCAF_01048	CDS	276				hypothetical protein
EEKMDCAF_01049	CDS	978				hypothetical protein
EEKMDCAF_01050	CDS	1623	ddpA_1		COG0747	putative D,D-dipeptide-binding periplasmic protein DdpA
EEKMDCAF_01051	CDS	1014	ddpB		COG0601	putative D,D-dipeptide transport system permease protein DdpB
EEKMDCAF_01052	CDS	900	ddpC_2		COG1173	putative D,D-dipeptide transport system permease protein DdpC
EEKMDCAF_01053	CDS	99				hypothetical protein
EEKMDCAF_01054	CDS	1836	gsiA_2	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
EEKMDCAF_01055	CDS	180				hypothetical protein
EEKMDCAF_01056	CDS	1395	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
EEKMDCAF_01057	CDS	393				hypothetical protein
EEKMDCAF_01058	CDS	723				hypothetical protein
EEKMDCAF_01059	CDS	1809	atzF_1	3.5.1.54		Allophanate hydrolase
EEKMDCAF_01060	CDS	495	slyA_2			Transcriptional regulator SlyA
EEKMDCAF_01061	CDS	1857	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
EEKMDCAF_01062	CDS	507				hypothetical protein
EEKMDCAF_01063	CDS	1209		1.14.99.15		Cytochrome p450 CYP199A2
EEKMDCAF_01064	CDS	324	thcC			Rhodocoxin
EEKMDCAF_01065	CDS	1212				hypothetical protein
EEKMDCAF_01066	CDS	1266		1.6.99.-	COG1252	NADH dehydrogenase-like protein
EEKMDCAF_01067	CDS	1173				hypothetical protein
EEKMDCAF_01068	CDS	1872				hypothetical protein
EEKMDCAF_01069	CDS	738	livF_4		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EEKMDCAF_01070	CDS	744	lptB_3	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
EEKMDCAF_01071	CDS	999				hypothetical protein
EEKMDCAF_01072	CDS	876	livH_3		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EEKMDCAF_01073	CDS	1131	livK		COG0683	Leucine-specific-binding protein
EEKMDCAF_01074	CDS	879	aroE_1	1.1.1.-		Quinate/shikimate dehydrogenase (NAD(+))
EEKMDCAF_01075	CDS	939				hypothetical protein
EEKMDCAF_01076	CDS	177				hypothetical protein
EEKMDCAF_01077	CDS	729	rpaR_1		COG2771	HTH-type quorum sensing-dependent transcriptional regulator RpaR
EEKMDCAF_01078	CDS	672	bjaI	2.3.1.228	COG3916	Isovaleryl-homoserine lactone synthase
EEKMDCAF_01079	CDS	219				hypothetical protein
EEKMDCAF_01080	CDS	918	livH_4		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
EEKMDCAF_01081	CDS	945				hypothetical protein
EEKMDCAF_01082	CDS	768	frcA_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
EEKMDCAF_01083	CDS	714	livF_5		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
EEKMDCAF_01084	CDS	414				hypothetical protein
EEKMDCAF_01085	CDS	1437	atdA1	6.3.1.18		Gamma-glutamylanilide synthase
EEKMDCAF_01086	CDS	1359	ligXa	1.14.13.-	COG4638	5,5'-dehydrodivanillate O-demethylase oxygenase subunit
EEKMDCAF_01087	CDS	786	pcaR		COG1414	Pca regulon regulatory protein
EEKMDCAF_01088	CDS	333				hypothetical protein
EEKMDCAF_01089	CDS	435				hypothetical protein
EEKMDCAF_01090	CDS	846				hypothetical protein
EEKMDCAF_01091	CDS	393	glbO		COG2346	Group 2 truncated hemoglobin GlbO
EEKMDCAF_01092	CDS	909	aroK_2	2.7.1.71		Shikimate kinase
EEKMDCAF_01093	CDS	1542	hbaA	6.2.1.25	COG0365	4-hydroxybenzoate--CoA/benzoate--CoA ligase
EEKMDCAF_01094	CDS	837	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EEKMDCAF_01095	CDS	519				hypothetical protein
EEKMDCAF_01096	CDS	1689	boxC	4.1.2.44		Benzoyl-CoA-dihydrodiol lyase
EEKMDCAF_01097	CDS	1452	boxB	1.14.13.208		Benzoyl-CoA oxygenase component B
EEKMDCAF_01098	CDS	801	rhlG_1	1.1.1.100		Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier-protein] reductase
EEKMDCAF_01099	CDS	1059				hypothetical protein
EEKMDCAF_01100	CDS	1395	pal_3			Peptidoglycan-associated lipoprotein
EEKMDCAF_01101	CDS	297				hypothetical protein
EEKMDCAF_01102	CDS	591	acuR			Transcriptional regulator AcuR
EEKMDCAF_01103	CDS	933	dhaA_2	3.8.1.5		Haloalkane dehalogenase
EEKMDCAF_01104	CDS	228				hypothetical protein
EEKMDCAF_01105	CDS	432				hypothetical protein
EEKMDCAF_01106	CDS	1056				hypothetical protein
EEKMDCAF_01107	CDS	1299	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
EEKMDCAF_01108	CDS	1014	pstS		COG0226	Phosphate-binding protein PstS
EEKMDCAF_01109	CDS	990	pstC		COG0573	Phosphate transport system permease protein PstC
EEKMDCAF_01110	CDS	846	pstA		COG0581	Phosphate transport system permease protein PstA
EEKMDCAF_01111	CDS	822	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
EEKMDCAF_01112	CDS	717	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
EEKMDCAF_01113	CDS	708	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
EEKMDCAF_01114	CDS	510				hypothetical protein
EEKMDCAF_01115	CDS	1209	aruC	2.6.1.11	COG4992	Succinylornithine transaminase/acetylornithine aminotransferase
EEKMDCAF_01116	CDS	924	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase, anabolic
EEKMDCAF_01117	CDS	1008	hslO		COG1281	33 kDa chaperonin
EEKMDCAF_01118	CDS	393	apaG		COG2967	Protein ApaG
EEKMDCAF_01119	CDS	1248				hypothetical protein
EEKMDCAF_01120	CDS	780				hypothetical protein
EEKMDCAF_01121	CDS	984				hypothetical protein
EEKMDCAF_01122	CDS	1188	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
EEKMDCAF_01123	CDS	1137	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
EEKMDCAF_01124	CDS	1053				hypothetical protein
EEKMDCAF_01125	CDS	1440				hypothetical protein
